Sector,Code,Url,Company,Market Cap,Share Price,% Change
Energy (XEJ),ASX:STO,https://www.listcorp.com/asx/sto/santos,Santos,21.74B,6.42,0.00%
Energy (XEJ),ASX:WPL,https://www.listcorp.com/asx/wpl/woodside-petroleum,Woodside Petroleum Ltd,21.55B,22.22,0.00%
Energy (XEJ),ASX:SOL,https://www.listcorp.com/asx/sol/soul-pattinson,Soul Pattinson WH,11.02B,30.55,0.00%
Energy (XEJ),ASX:ALD,https://www.listcorp.com/asx/ald/ampol-limited,Ampol Limited,7B,29.39,0.00%
Energy (XEJ),ASX:WOR,https://www.listcorp.com/asx/wor/worley-limited,Worley Limited,5.7B,10.88,0.00%
Energy (XEJ),ASX:VEA,https://www.listcorp.com/asx/vea/viva-energy-group,Viva Energy Group,3.6B,2.32,0.00%
Energy (XEJ),ASX:YAL,https://www.listcorp.com/asx/yal/yancoal,Yancoal Australia,3.46B,2.62,0.00%
Energy (XEJ),ASX:BPT,https://www.listcorp.com/asx/bpt/beach-energy-limited,Beach Energy Limited,2.9B,1.27,0.00%
Energy (XEJ),ASX:WHC,https://www.listcorp.com/asx/whc/whitehaven-coal,Whitehaven Coal Limited,2.76B,2.67,0.00%
Energy (XEJ),ASX:PDN,https://www.listcorp.com/asx/pdn/paladin-energy,Paladin Energy Limited,2.28B,0.85,0.00%
Energy (XEJ),ASX:NHC,https://www.listcorp.com/asx/nhc/new-hope-corporation-limited,New Hope Corporation Limited,1.9B,2.28,0.00%
Energy (XEJ),ASX:ZEL,https://www.listcorp.com/asx/zel/z-energy-limited,Z Energy Limited,1.72B,3.31,0.00%
Energy (XEJ),ASX:ERA,https://www.listcorp.com/asx/era/energy-resources-of-australia,Energy Resources of Australia Ltd,1.22B,0.33,0.00%
Energy (XEJ),ASX:KAR,https://www.listcorp.com/asx/kar/karoon-energy-ltd,Karoon Energy Ltd,937.18M,1.685,0.00%
Energy (XEJ),ASX:SXY,https://www.listcorp.com/asx/sxy/senex-energy-limited,Senex Energy Limited,855.94M,4.62,0.00%
Energy (XEJ),ASX:BOE,https://www.listcorp.com/asx/boe/boss-energy-ltd,Boss Energy Ltd,636.62M,2.23,0.00%
Energy (XEJ),ASX:CVN,https://www.listcorp.com/asx/cvn/carnarvon-energy-limited,Carnarvon Energy Limited,540.06M,0.345,0.00%
Energy (XEJ),ASX:STX,https://www.listcorp.com/asx/stx/strike-energy,Strike Energy Limited,455.65M,0.225,0.00%
Energy (XEJ),ASX:COE,https://www.listcorp.com/asx/coe/cooper-energy-limited,Cooper Energy Limited,449M,0.275,0.00%
Energy (XEJ),ASX:88E,https://www.listcorp.com/asx/88e/88-energy-limited,88 Energy Limited,370.28M,0.025,0.00%
Energy (XEJ),ASX:DYL,https://www.listcorp.com/asx/dyl/deep-yellow-limited,Deep Yellow Limited,350.27M,0.905,0.00%
Energy (XEJ),ASX:BMN,https://www.listcorp.com/asx/bmn/bannerman-energy-ltd,Bannerman Energy Ltd,344.89M,0.28,0.00%
Energy (XEJ),ASX:SMR,https://www.listcorp.com/asx/smr/stanmore-resources-limited,Stanmore Resources Limited,279.87M,1.035,0.00%
Energy (XEJ),ASX:RNU,https://www.listcorp.com/asx/rnu/renascor-resources,Renascor Resources Limited,264.5M,0.14,0.00%
Energy (XEJ),ASX:VMY,https://www.listcorp.com/asx/vmy/vimy-resources-limited,Vimy Resources Limited,210.97M,0.20,0.00%
Energy (XEJ),ASX:EEG,https://www.listcorp.com/asx/eeg/empire-energy-group-limited,Empire Energy Group Limited,210.03M,0.35,0.00%
Energy (XEJ),ASX:PEN,https://www.listcorp.com/asx/pen/peninsula-energy,Peninsula Energy,199.46M,0.20,0.00%
Energy (XEJ),ASX:TBN,https://www.listcorp.com/asx/tbn/tamboran-resources-limited,Tamboran Resources Limited,196.78M,0.37,0.00%
Energy (XEJ),ASX:PH2,https://www.listcorp.com/asx/ph2/pure-hydrogen-corporation-limited,Pure Hydrogen Corporation Limited,184.57M,0.545,0.00%
Energy (XEJ),ASX:TEK,https://www.listcorp.com/asx/tek/thorney-technologies-limited,Thorney Technologies Limited,180.64M,0.425,0.00%
Energy (XEJ),ASX:EXR,https://www.listcorp.com/asx/exr/elixir-energy-limited,Elixir Energy Limited,178.35M,0.20,0.00%
Energy (XEJ),ASX:AGE,https://www.listcorp.com/asx/age/alligator-energy,Alligator Energy Limited,165.62M,0.054,0.00%
Energy (XEJ),ASX:ACB,https://www.listcorp.com/asx/acb/a-cap-energy-limited,A-Cap Energy Limited,160.88M,0.14,0.00%
Energy (XEJ),ASX:HE8,https://www.listcorp.com/asx/he8/helios-energy-limited,Helios Energy Limited,159.42M,0.09,0.00%
Energy (XEJ),ASX:DEV,https://www.listcorp.com/asx/dev/devex-resources-limited,DevEx Resources Limited,149.24M,0.475,0.00%
Energy (XEJ),ASX:WGO,https://www.listcorp.com/asx/wgo/warrego-energy-limited,Warrego Energy Limited,146.78M,0.12,0.00%
Energy (XEJ),ASX:HZN,https://www.listcorp.com/asx/hzn/horizon-oil-limited,Horizon Oil Limited,142.89M,0.0905,0.00%
Energy (XEJ),ASX:NWE,https://www.listcorp.com/asx/nwe/norwest-energy,Norwest Energy NL,140.84M,0.025,0.00%
Energy (XEJ),ASX:LCK,https://www.listcorp.com/asx/lck/leigh-creek-energy-limited,Leigh Creek Energy Limited,138.59M,0.16,0.00%
Energy (XEJ),ASX:GRV,https://www.listcorp.com/asx/grv/greenvale-mining-limited,Greenvale Mining Limited,133.97M,0.3375,0.00%
Energy (XEJ),ASX:MRM,https://www.listcorp.com/asx/mrm/mma-offshore-limited,MMA Offshore Limited,132.95M,0.37,0.00%
Energy (XEJ),ASX:TER,https://www.listcorp.com/asx/ter/terracom-limited,TerraCom Limited,131.88M,0.175,0.00%
Energy (XEJ),ASX:BRU,https://www.listcorp.com/asx/bru/buru-energy,Buru Energy Limited,123.84M,0.23,0.00%
Energy (XEJ),ASX:WEC,https://www.listcorp.com/asx/wec/white-energy,White Energy,120.04M,0.155,0.00%
Energy (XEJ),ASX:BYE,https://www.listcorp.com/asx/bye/byron-energy,Byron Energy,119.63M,0.115,0.00%
Energy (XEJ),ASX:EER,https://www.listcorp.com/asx/eer/east-energy-resources,East Energy Resources Limited,115.24M,0.036,0.00%
Energy (XEJ),ASX:GLL,https://www.listcorp.com/asx/gll/galilee-energy,Galilee Energy,113.72M,0.385,0.00%
Energy (XEJ),ASX:EL8,https://www.listcorp.com/asx/el8/elevate-uranium-ltd,Elevate Uranium Ltd,108.11M,0.415,0.00%
Energy (XEJ),ASX:CE1,https://www.listcorp.com/asx/ce1/calima-energy-limited,Calima Energy Limited,107.96M,0.21,0.00%
Energy (XEJ),ASX:AEE,https://www.listcorp.com/asx/aee/aura-energy,Aura Energy,107.29M,0.255,0.00%
Energy (XEJ),ASX:BKY,https://www.listcorp.com/asx/bky/berkeley-energia-limited,Berkeley Energia Limited,106.99M,0.24,0.00%
Energy (XEJ),ASX:EPM,https://www.listcorp.com/asx/epm/eclipse-metals,Eclipse Metals,99.53M,0.052,0.00%
Energy (XEJ),ASX:BNL,https://www.listcorp.com/asx/bnl/blue-star-helium-limited,Blue Star Helium Limited,90.32M,0.059,0.00%
Energy (XEJ),ASX:COI,https://www.listcorp.com/asx/coi/comet-ridge,Comet Ridge,90.3M,0.105,0.00%
Energy (XEJ),ASX:TOE,https://www.listcorp.com/asx/toe/toro-energy,Toro Energy,81.84M,0.021,0.00%
Energy (XEJ),ASX:IVZ,https://www.listcorp.com/asx/ivz/invictus-energy-limited,Invictus Energy Limited,78.99M,0.135,0.00%
Energy (XEJ),ASX:NZO,https://www.listcorp.com/asx/nzo/new-zealand-oil-and-gas,New Zealand Oil & Gas,78.93M,0.48,0.00%
Energy (XEJ),ASX:CTP,https://www.listcorp.com/asx/ctp/central-petroleum,Central Petroleum,76.21M,0.105,0.00%
Energy (XEJ),ASX:NXG,https://www.listcorp.com/asx/nxg/nexgen-energy-canada-ltd,NexGen Energy (Canada) Ltd,68.43M,6.10,0.00%
Energy (XEJ),ASX:BRK,https://www.listcorp.com/asx/brk/brookside-energy-limited,Brookside Energy Limited,67.51M,0.02,0.00%
Energy (XEJ),ASX:BLU,https://www.listcorp.com/asx/blu/blue-energy,Blue Energy Limited,67.24M,0.044,0.00%
Energy (XEJ),ASX:RLT,https://www.listcorp.com/asx/rlt/renergen-limited,Renergen Limited,63.48M,2.70,0.00%
Energy (XEJ),ASX:ATS,https://www.listcorp.com/asx/ats/australis-oil-and-gas-ltd,Australis Oil & Gas Ltd,61.92M,0.05,0.00%
Energy (XEJ),ASX:KKO,https://www.listcorp.com/asx/kko/kinetiko-energy,Kinetiko Energy,61.67M,0.10,0.00%
Energy (XEJ),ASX:VEN,https://www.listcorp.com/asx/ven/vintage-energy-ltd,Vintage Energy Ltd,59.95M,0.085,0.00%
Energy (XEJ),ASX:GEV,https://www.listcorp.com/asx/gev/global-energy-ventures,Global Energy Ventures Ltd,59.84M,0.11,0.00%
Energy (XEJ),ASX:GAS,https://www.listcorp.com/asx/gas/state-gas-limited,State Gas Limited,58.95M,0.295,0.00%
Energy (XEJ),ASX:MAY,https://www.listcorp.com/asx/may/melbana-energy-limited,Melbana Energy Limited,58.81M,0.022,0.00%
Energy (XEJ),ASX:AXP,https://www.listcorp.com/asx/axp/axp-energy-limited,AXP Energy Limited,58.12M,0.01,0.00%
Energy (XEJ),ASX:OEL,https://www.listcorp.com/asx/oel/otto-energy-limited,Otto Energy Limited,57.54M,0.012,0.00%
Energy (XEJ),ASX:TPD,https://www.listcorp.com/asx/tpd/talon-energy-ltd,Talon Energy Ltd,54.3M,0.008,0.00%
Energy (XEJ),ASX:LKO,https://www.listcorp.com/asx/lko/lakes-blue-energy,Lakes Blue Energy NL,53.28M,0.0015,0.00%
Energy (XEJ),ASX:EME,https://www.listcorp.com/asx/eme/energy-metals,Energy Metals,48.23M,0.23,0.00%
Energy (XEJ),ASX:EDE,https://www.listcorp.com/asx/ede/eden-innovations,Eden Innovations Ltd,46.19M,0.02,0.00%
Energy (XEJ),ASX:CUE,https://www.listcorp.com/asx/cue/cue-energy,Cue Energy Resources,45.38M,0.065,0.00%
Energy (XEJ),ASX:ROG,https://www.listcorp.com/asx/rog/red-sky-energy,Red Sky Energy,42.42M,0.008,0.00%
Energy (XEJ),ASX:MEU,https://www.listcorp.com/asx/meu/marmota-limited,Marmota Limited,41.16M,0.042,0.00%
Energy (XEJ),ASX:GLV,https://www.listcorp.com/asx/glv/global-vanadium-limited,Global Vanadium Limited,41.06M,0.022,0.00%
Energy (XEJ),ASX:AJQ,https://www.listcorp.com/asx/ajq/armour-energy,Armour Energy Limited,39.36M,0.02,0.00%
Energy (XEJ),ASX:FAR,https://www.listcorp.com/asx/far/far,FAR Limited,38.92M,0.39,0.00%
Energy (XEJ),ASX:HHR,https://www.listcorp.com/asx/hhr/hartshead-resources-nl,Hartshead Resources NL,38.85M,0.021,0.00%
Energy (XEJ),ASX:NGY,https://www.listcorp.com/asx/ngy/nuenergy-gas,NuEnergy Gas,38.5M,0.026,0.00%
Energy (XEJ),ASX:RES,https://www.listcorp.com/asx/res/resgen,Resource Generation Limited,37.21M,0.064,0.00%
Energy (XEJ),ASX:92E,https://www.listcorp.com/asx/92e/92-energy,92 Energy Limited,33.74M,0.64,0.00%
Energy (XEJ),ASX:SRJ,https://www.listcorp.com/asx/srj/srj-technologies-group-plc,SRJ Technologies Group plc,31.93M,0.43,0.00%
Energy (XEJ),ASX:ADX,https://www.listcorp.com/asx/adx/adx-energy,ADX Energy,29.74M,0.01,0.00%
Energy (XEJ),ASX:REY,https://www.listcorp.com/asx/rey/rey-resources,Rey Resources,29.67M,0.14,0.00%
Energy (XEJ),ASX:GGE,https://www.listcorp.com/asx/gge/grand-gulf-energy,Grand Gulf Energy,29.51M,0.023,0.00%
Energy (XEJ),ASX:TOU,https://www.listcorp.com/asx/tou/tlou-energy,Tlou Energy Limited,28.81M,0.048,0.00%
Energy (XEJ),ASX:IKW,https://www.listcorp.com/asx/ikw/ikwezi-mining,Ikwezi Mining,26.42M,0.65,0.00%
Energy (XEJ),ASX:LIO,https://www.listcorp.com/asx/lio/lion-energy,Lion Energy,26.38M,0.069,0.00%
